https://live-durhamnc.opendata.arcgis.com/datasets/supermarkets-warehouse-clubs-and-supercenters-1/data,,Open Data: City and County of Durham NC,,"Supermarkets, warehouse clubs and supercenters",,Source date:  November 2020,,,,,,,,,,,,,,,,,,,
X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-78.92408,36.009769,1983,138409,0,HARRIS TEETER #394,Grocery Store,2107 HILLSBOROUGH RD,DURHAM,,,https://www.harristeeter.com/,,9192861500,,9192861500,7 days/week,6am-11pm,,,Senior and vulnerable population hours Mon. and Thurs. 6am-8pm; Pick-up and limited delivery available,{D8B2D0A2-EE8C-405A-AC21-C23E5B126D33},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.921532,35.99189,1990,140666,0,MOREHEAD MINI MART,Grocery Store,1601 MOREHEAD AVE,DURHAM,,,,,9194893133,,9194893133,Sunday-Saturday,8am-10pm,,,CONVENIENCE STORES,{197FF835-A739-4A26-95F5-05CA7C27C204},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.909569,35.985157,1999,139880,0,COMPARE FOODS,Grocery Store,1233 UNIVERSITY DR,DURHAM,,,,,9194198346,,9194198346,7 days/week,7:30am-9:00pm,,,,{AC3FA47D-7D32-47FB-B19C-61E95677DB17},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.916512,35.997002,2010,134141,0,UNIVERSITY MARKET,Gas Station,1108 W CHAPEL HILL ST,DURHAM,,,,,9194892232,,,7 days/week,9am-9pm,,,,{01C7E3B4-F628-4455-8904-984038329056},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.920631,36.006992,2016,139413,0,WHOLE FOODS MARKET,Grocery Store,621 BROAD ST,DURHAM,,,https://www.wholefoodsmarket.com,,9192862290,,9192862290,7 days/week,8am - 8pm,,,"Face covering required; guests 60+, with disabilities, or defined by CDC as high risk can start to shop at 7am; pickup and delivery (using Amazon Prime) may be available.",{F4B8B00A-04B7-40B8-B521-36CB5DC10490},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.933769,36.014011,2045,138297,0,FOOD LION #1099,Grocery Store,2930 W MAIN ST,DURHAM,,,https://www.foodlion.com/,,9192860400,,9192860400,7 days/week,7am-10pm,,,Senior and high-risk Mon and Wed 7-8am; Pick-up and delivery available at some stores,{77B00CF7-DF23-405D-8859-E553BDEAC4AF},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.922592,36.026218,2047,138751,0,MI BARRIO Grocery,Grocery Store,2405 GUESS RD,DURHAM,,,,,9192860305,,9192860305,,9am-9pm,,,Grocery store,{85ACBEB8-A924-451F-8281-0F7115E7E20C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.918121,36.023293,2112,138627,0,LA CENTRAL MARKET,Grocery Store,2022 GUESS RD #C,DURHAM,,,,,9197972092,,9192946100,7 days/week,9am-8:30pm,,,,{B730A778-BF9E-4F74-882F-67B835AA3487},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.917839,36.02301,2113,138387,0,GUESS ROAD MINIMART,Grocery Store,2014 GUESS RD,DURHAM,,,,,9192861466,,9192861466,7 days/week,8am-11pm,,,Convenience Store,{10B34410-4625-42E1-9745-8285FDA1A08A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.917839,36.02301,2114,139211,0,SUNSHINE MART,Grocery Store,2014 GUESS RD,DURHAM,,,,,9196829860,,9196829860,,,,,CONVENIENCE STORES,{6F7D497A-ECDF-440D-B038-1AD15ED6FFDB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
